,"('PS pilot (base)', 'Use and biowaste')","('PS pilot (base)', 'Use and incineration')","('PS pilot (cellulose)', 'Use and biowaste')","('PS pilot (cellulose)', 'Use and incineration')","('PS pilot (mannitol)', 'Use and biowaste')","('PS pilot (mannitol)', 'Use and incineration')","('PS pilot (PLA5)', 'Use and biowaste')","('PS pilot (PLA5)', 'Use and incineration')","('PS pilot (PLA30)', 'Use and incineration')","('PS pilot (PLA30)', 'Use and biowaste')","('PS pilot (base) nbu', 'Use and biowaste')","('PS pilot (base) nbu', 'Use and incineration')","('PS pilot (cellulose) nbu', 'Use and incineration')","('PS pilot (cellulose) nbu', 'Use and biowaste')","('PS pilot (mannitol) nbu', 'Use and incineration')","('PS pilot (mannitol) nbu', 'Use and biowaste')","('PS pilot (PLA5) nbu', 'Use and incineration')","('PS pilot (PLA5) nbu', 'Use and biowaste')","('PS pilot (PLA30) nbu', 'Use and biowaste')","('PS pilot (PLA30) nbu', 'Use and incineration')"
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,3.0827712993354637,4.418756791668267,3.1210308369508573,4.459510214616781,2.93770655867568,4.281391686638711,3.0148725306465054,4.3454566746052095,4.251076654763041,2.918457849557151,3.0821850108670423,4.5058089530094945,4.778418447161727,3.346276816833323,4.779990463729179,3.362637347502675,4.51659390089501,3.10237519539562,3.0577102111698475,4.470019147373266
std,3.05655123264808,3.04743816020994,2.646904023895657,2.6642423126599692,2.8614071294350625,2.9136221298419085,2.6970509234873297,2.738039711511177,3.175460706287499,3.1615338080527597,1.598745994086133,1.6086361508244484,1.9484477418461617,1.9280248788596994,2.1310449709853483,2.1111366880724884,1.787039242804108,1.759528071600273,1.9858853354494184,1.9956501155041522
min,-17.662671769978175,-17.35249850938051,-14.417582751015892,-13.726472629566022,-30.33694933061612,-29.21660565713733,-13.54859440861334,-12.564524211166706,-16.427412203556386,-15.287767711320235,0.8064889544523084,1.7959788695793453,2.1259129964384362,0.7748772755577215,1.7289481359346808,0.7754478698830469,2.0204269314683745,0.7740661695036426,0.37844907516715576,1.7399862679863725
25%,1.5618987573542247,2.931404088042446,1.7575124629435808,3.067504379255701,1.6756543204557548,3.009368194762659,1.5850153658162318,2.936488229477675,2.8926699929920137,1.5127786712290594,1.9875175864505352,3.4217692939054505,3.56569029047747,2.144817491267553,3.4898364586506148,2.064049485583256,3.3135696554820186,1.9488178041754893,1.9115227073264613,3.3286368238805606
50%,2.493567750422391,3.874482132388689,2.641970213450527,3.9783461300001246,2.607471839780686,3.964942899758207,2.4450404946450934,3.7899381170113915,3.7094019705080026,2.41573279066614,2.6991359070996355,4.107599810763941,4.230625230221259,2.81676539096097,4.234029182976286,2.79755277702197,4.081066619290933,2.633810450675871,2.582542100854237,4.027435366176949
75%,3.990155357374919,5.327735361623053,4.054240727925317,5.398225159833984,3.9098649123113383,5.25199081680809,4.017449404600939,5.358642043098095,5.154228314093183,3.769811387297694,3.779877612209959,5.2257886180073125,5.444023656291524,3.9339943775797472,5.459452097396581,4.029708351165852,5.125404826132584,3.69448236472288,3.581783138398546,5.038122491869759
max,26.23503413798738,25.353842043215458,24.502700256469154,26.065697220432302,32.17288916294483,34.130753977374894,23.157538969651526,24.39037797604496,33.55101313381609,31.97862663242207,15.397901799762481,17.19045545246114,21.887935323508646,20.495046085015943,32.415637601834916,30.44368257790004,16.516601660231437,15.040182202958267,27.178212052809958,28.81667321480206
