,"('PS pilot (base)', 'Use and biowaste')","('PS pilot (base)', 'Use and incineration')","('PS pilot (cellulose)', 'Use and biowaste')","('PS pilot (cellulose)', 'Use and incineration')","('PS pilot (mannitol)', 'Use and biowaste')","('PS pilot (mannitol)', 'Use and incineration')","('PS pilot (PLA5)', 'Use and biowaste')","('PS pilot (PLA5)', 'Use and incineration')","('PS pilot (PLA30)', 'Use and incineration')","('PS pilot (PLA30)', 'Use and biowaste')","('PS pilot (base) nbu', 'Use and biowaste')","('PS pilot (base) nbu', 'Use and incineration')","('PS pilot (cellulose) nbu', 'Use and incineration')","('PS pilot (cellulose) nbu', 'Use and biowaste')","('PS pilot (mannitol) nbu', 'Use and incineration')","('PS pilot (mannitol) nbu', 'Use and biowaste')","('PS pilot (PLA5) nbu', 'Use and incineration')","('PS pilot (PLA5) nbu', 'Use and biowaste')","('PS pilot (PLA30) nbu', 'Use and biowaste')","('PS pilot (PLA30) nbu', 'Use and incineration')"
0,6.291338762070938,7.258368426202503,3.390684697357323,4.598550029857815,3.8413589790794247,5.023786886663403,5.7897173264981,7.126247577189181,5.28598449556358,3.6519651272717177,2.294168478140199,3.634586331929003,4.913392543260199,3.6547447045346737,4.130222303144878,2.9616730661813584,3.28925774413469,2.105416866421729,2.8997427992422535,4.401271313068717
1,1.321205259743341,2.5425815173433017,1.3153179516618057,2.794302467987337,1.435555412207575,2.5802995295108686,1.0153341998770744,2.3587462379901067,3.2456271792082907,1.5223883936545564,4.289896015433633,5.861022435527604,4.879232587535506,3.706800869874175,2.796064377983315,2.0015038337335733,4.1171232589502225,2.6082928171709656,4.609061450770239,6.023476757952501
2,2.689705965851091,3.3619033143868435,3.7082870263950136,4.725255565512828,1.0445667432069194,2.3784863417043787,3.2357969694398907,4.515851480514136,5.652719160840364,4.047157081494893,5.57567811428799,6.815907722798844,4.041219774945915,2.2067628144088673,4.040870793897481,2.7017788128707716,4.232675230782141,2.5748312999917813,3.2569380314055207,4.641785761880303
3,-0.22430838431608335,1.2884621861997756,1.2534601477645813,2.463966172833755,-1.4530854807377387,-0.22005490659550553,-0.8251067758426371,0.4118878667144563,0.7404438165624501,-0.8387292784076106,2.663506427346809,4.291562706438533,4.015403751832396,2.459830230567902,3.739666182538975,2.355800112013009,5.580071851238543,4.206227324253243,2.235421293706601,3.6600931187533376
4,7.809050599649393,9.029196439719954,8.991047384492925,10.362706443651062,5.638604287491602,7.276186262774816,3.881397229654928,5.5971605770474975,3.7046973470026305,2.5065487474089316,1.7819114962017202,3.02866960050924,5.1854923782995925,3.547352855129694,2.6590722369397404,1.4595436430723696,5.524638578792903,4.229732097796686,2.661333323682596,4.168799887851006
5,1.731458278018108,2.686918541280844,3.8864638760255623,5.087015476001866,2.7034799548155397,3.8895485501454017,3.2717891337847833,4.780450677524783,3.729113670810459,2.87733690295734,1.8035812909385225,2.99443617112624,7.317140355898668,5.506180543257625,2.6940444557482124,1.6111597306196581,11.184889990389266,9.950532739977596,2.181643778245662,3.2734182067142403
6,7.686570093538004,8.97517266508087,2.5550877760204256,4.211995670323059,5.650879612961844,7.304232214401622,3.0851741560439523,4.353715095485466,6.773694659621865,5.677771272505765,1.7789765024897595,3.1580056749340493,4.3535904167134305,2.722441784320661,3.5298550428671054,2.1145668085427527,3.3258165172222607,2.005321898944049,10.414638339047722,12.159541414927661
7,1.7497387515620544,3.4206593295804364,2.6250076127287105,4.6834922354504025,2.3673292492386375,3.730534894125862,2.121271282107716,3.6238112974066174,3.6522131345529374,2.6105390749438415,5.924445372681916,7.63897813313086,7.601556544628964,6.455443497242875,4.259871711671425,2.7642897574338945,3.518162070093985,1.6664361883491052,4.822863286156405,6.071156785858402
8,4.651350486363043,5.865476299352756,3.210132922640251,4.520342208189122,3.568354041406389,4.589142955954512,6.691137801132481,7.702322811983032,6.4220249817799795,5.06333758869701,3.8334716502731236,4.798082990021771,4.021273838087335,2.459541395471862,3.0246206023639384,1.7499537570071446,5.967745762481524,4.502182913428448,1.8819346880832164,3.0680907564939766
9,2.594583047094563,4.031326254433061,3.9648438308222835,5.082929774324741,3.145032735745101,4.849319691853078,1.4371384840270174,2.8199471536187746,2.423323511578661,1.0487029204033018,2.9038774195488917,3.870996095345868,5.158757921304717,4.15831727805971,4.538164412768303,2.8981794941449714,5.289087781959008,4.18971218793773,2.8677008835452336,4.100774323654948
10,2.0695976172155772,3.1515886265809705,1.4401625244651448,2.509008323994016,2.226977418213769,3.437494534126823,6.570837101312966,7.70148830180696,3.6108510181535673,2.056432256795339,1.735149600979742,3.5840677115671573,4.328110902067096,2.9115802052376107,4.038271390519893,2.1725914954732017,3.378439965841379,2.0894166023073577,1.3949298314153835,3.411198655082087
