,"('PS pilot (base)', 'Use and biowaste')","('PS pilot (base)', 'Use and incineration')","('PS pilot (cellulose)', 'Use and biowaste')","('PS pilot (cellulose)', 'Use and incineration')","('PS pilot (mannitol)', 'Use and biowaste')","('PS pilot (mannitol)', 'Use and incineration')","('PS pilot (PLA5)', 'Use and biowaste')","('PS pilot (PLA5)', 'Use and incineration')","('PS pilot (PLA30)', 'Use and incineration')","('PS pilot (PLA30)', 'Use and biowaste')","('PS pilot (base) nbu', 'Use and biowaste')","('PS pilot (base) nbu', 'Use and incineration')","('PS pilot (cellulose) nbu', 'Use and incineration')","('PS pilot (cellulose) nbu', 'Use and biowaste')","('PS pilot (mannitol) nbu', 'Use and incineration')","('PS pilot (mannitol) nbu', 'Use and biowaste')","('PS pilot (PLA5) nbu', 'Use and incineration')","('PS pilot (PLA5) nbu', 'Use and biowaste')","('PS pilot (PLA30) nbu', 'Use and biowaste')","('PS pilot (PLA30) nbu', 'Use and incineration')"
0,6.340951597416472,6.559258838561456,2.617268674344647,2.923400098285038,3.8453325844109334,4.250437397359491,5.73321691602672,5.911579960880956,4.01922926371671,3.307156028092571,2.7204367502294478,3.2077814567429366,4.408783328924197,3.8973653695274626,3.5462078585287244,3.201963598961106,2.571946319239456,2.3329175569077796,2.717303584248345,3.4100840872764238
1,3.455372627614936,3.867525750891195,3.6654708161759455,4.016439840208232,4.73464271256092,5.065722251222484,1.168193525940149,1.5436112893866705,2.6561522278393843,2.076222923414556,4.408015330986858,4.933859574777633,4.6039925376085815,4.285933751267616,1.9702681685077517,1.9234196241595314,3.5822493269083164,2.866729169390848,6.2211796719400345,6.698170692394745
2,2.4398982670059057,2.3159901885988425,3.6918540059195832,3.8419564218421938,0.791162427547646,1.0513650064669124,2.324861261864192,2.9596735292430156,3.553566036492272,2.8618387158116256,7.609146898645473,7.935218727474958,2.4404214988793433,2.0374232820683815,3.3208032533423286,2.850657784959001,3.3686690115751317,2.7679578651319967,2.3753143876295963,2.9806306930132287
3,1.5671188078403533,2.033933751152922,1.5473339022716983,1.8544600416377484,3.528408566568318,3.8292428921388133,3.3842391061897104,3.7386352550193704,4.5779646534242255,3.869178754753828,2.7337261319643598,3.2850561445049165,3.179710893355657,2.701910935022278,2.3456628256876937,1.966493723107042,4.915421959059009,4.4260246906987595,2.3107693727477376,2.7233260387438922
4,8.177694065851206,8.437552236713323,9.515154041367941,10.019601531326412,5.565771192708192,6.150667911811463,3.7591389152310977,4.336300620114732,2.906174766641594,2.3613355094285122,1.9872896739232733,2.2887827008796386,4.658234931353279,4.203276431123484,1.7120512142989759,1.4022906364507344,5.023749768294712,4.556820795875849,2.6995200389062606,3.131098098128564
5,2.505502968336396,2.801960822275425,5.072052261605995,5.469686634419796,1.8347847661624046,2.259677213649102,2.1439208247022403,2.7471983521184766,4.4211249047431656,4.278509974898112,1.9808206977967944,2.207670153370453,8.198410614023288,7.297881419811087,1.8890663976480409,1.6365676515595107,13.705385288721994,13.470706380342367,2.436748388095033,2.619892373977017
6,8.10903353649911,8.297286732154758,2.4166733632498056,3.1720018817334443,5.879302538295512,6.455815518358286,2.9885637018641207,3.466917142132624,6.137200363764797,5.9590644538546655,1.8274404072309227,2.0900900858905187,3.7535177445352215,3.157095632039468,2.4073489427748203,2.103491651305512,2.605030823385464,2.065916471012638,14.152862692316752,14.66845026150602
7,1.524344844395772,2.2064085783477587,2.307242831306309,3.2248570636018408,2.009564227745002,2.4587405624535603,1.8731894420102126,2.4290586064386157,2.828478466106336,2.510756116891513,7.964614311957954,8.614877909897178,8.714505071183666,8.425269174909015,3.77555275411018,3.5368484700266802,2.133632578569903,1.3167592731868139,6.3045770807148935,6.75317242559976
8,3.8747720239019214,4.062341195862845,2.200421066305283,2.670289988416816,3.696545102355165,3.7465188520217234,5.830507443161283,6.078213106934396,6.576136214357272,6.183807716787692,5.038795976352185,5.262570399383857,2.5987143745936137,2.043713161297133,2.0844670947164476,1.925129842120699,5.705768117859544,5.145284694988345,2.1578901942002355,2.5317406017578143
9,3.6276107820462524,3.997649965071339,4.7207959575784235,5.010877946167925,3.889273207745714,4.453843565350604,1.732869956600695,2.1047761146271124,1.7250098531423994,1.1090413465577058,3.4696178609475745,3.743948668612367,5.723464160637484,5.448224418747643,3.284683182005497,2.84718124938935,5.790016355923104,5.484671838102593,3.002746954910131,3.3318851515172976
10,2.6488946837739955,2.688198408552914,1.0341260165157047,1.0979843647566334,2.4844190970673323,2.48111445791401,5.476893657367926,5.789096039302838,3.6128018903362538,3.006188106412401,1.9663940988441844,2.6678177912067174,3.7651814667447443,3.4195881244285893,2.512444145633193,1.787638200070561,2.6323932626858544,2.2782573595451217,1.31613072204032,2.1864425645862515
11,6.801307749589145,6.989572364070112,1.553558407077408,1.6979513536593345,2.3436684465966513,2.5201355526903857,2.726825329217647,3.171821317198339,1.4938486989429502,0.6654909803962871,6.446934269047956,7.053774625029944,7.014795345055538,6.546366583029308,7.558084964948262,7.194977490215607,2.581459736355657,2.0648328226047927,3.0085637799386467,3.76691580835719
12,6.830214221899347,7.416219731285802,3.3437801631132715,3.6872378927375973,7.318835233672014,7.937079262274273,2.2926413777171404,2.7398946305021887,6.071829384141414,5.618429509934653,8.550207287008535,9.035139138444173,11.652926390685993,11.348465503477206,4.655124121091056,4.116762729183943,4.697019303647407,4.214323388181908,2.047379174045194,2.4027738472558453
13,5.027473711547162,5.056700692402229,1.3862211130312339,2.201237130518402,2.2647395784956514,2.9691979965368693,5.20746195635482,5.457961251238611,1.806796141254443,1.5536674196118974,3.491620295524146,3.9639558432355875,9.797038027697527,9.27245004692248,10.432197136622552,10.038432785845956,1.8311586613880506,1.4120513253370528,7.225714488690112,7.739483168192756
14,9.786110979457147,10.001803022249772,3.6214726762402885,3.7713298018136636,4.187255555303654,4.5500076178272675,6.753001162422407,6.6502338224666655,1.5956001625728011,1.2210503050115602,3.0253425528247977,3.451996416330161,2.5509335214397226,1.9899883870084922,3.110349204050099,2.6314890485121025,1.6622524642423409,1.3903281550205913,2.80421980829011,3.174128132975888
